YEAR,MONTH_NAME,TOTAL_VOLUME,DETECTORSITE_NAME,LONGITUDE,LATITUDE,DETECTORSITE_SUBURB_NAME,DETECTORSITE_DIVISION_NAME
2024,September,264456.00000,5488/WB/Dep,153.365072,-27.878327,Hope Island,Division 3
2024,September,101207.00000,5358/WB/TQ,153.386732235,-28.032685184,Clear Island Waters,Division 8
2024,September,0.00000,5106/EB/TS,153.437119,-28.05365,Mermaid Beach,Division 12
2024,September,251506.00000,5140/SB/RS,153.430108,-28.029536,Broadbeach,Division 10
2024,September,68805.00000,5162/EB/RS,153.476819,-28.127974,Palm Beach,Division 13
2024,September,87754.00000,5561/NB/Lnk,153.305016,-27.868922,Upper Coomera,Division 1
2024,September,177471.00000,5085/SB/TS,153.469531,-28.154042,Currumbin Waters,Division 14
2024,September,126794.00000,5876NBOFFapp,153.355989,-28.051485,Mudgeeraba,Division 9
2024,September,133979.00000,5366/WB/TQ,153.31546246,-27.885384409,Oxenford,Division 2
2024,September,168814.00000,5315/SE/LQ,153.360078,-28.000833,Carrara,Division 8
2024,September,197615.00000,5374/NW/LQ,153.353668,-28.01701,Carrara,Division 8
2024,September,197615.00000,5374/NW/LS,153.353668,-28.01701,Carrara,Division 8
2024,September,164154.00000,5324/EB/TQ,153.395663,-28.009146,Benowa,Division 7
2024,September,475663.00000,5158/NW/TQ,153.467878,-28.112766,Palm Beach,Division 13
2024,September,22223.00000,5669/SB/LS,153.293977813,-27.820540541,Pimpama,Division 3
2024,September,56914.00000,5100/WB/TS,153.430551,-28.031351,Broadbeach,Division 10
2024,September,828.00000,5603/NB/LS,153.31549788,-27.85537404,Coomera,Division 3
2024,September,43829.00000,5170NB,153.535566,-28.166925,Coolangatta,Division 14
2024,September,43477.00000,5567/NW/TS,153.384419,-27.962961,Southport,Division 6
2024,September,6600.00000,5571/WB/TS,153.429618,-28.010549,Surfers Paradise,Division 7
2024,September,49386.00000,5129/SB/LS,153.428717,-28.002931,Surfers Paradise,Division 7
2024,September,53443.00000,5682/NW/TS,153.215233,-27.763782,Luscombe,Division 1
2024,September,214946.00000,5563/NB/LS,153.394466,-28.060926,Robina,Division 11
2024,September,3352.00000,5076/WB/TS,153.398199,-27.927292,Biggera Waters,Division 4
2024,September,51958.00000,5579/NB/LQ,153.313521,-27.888323,Oxenford,Division 2
2024,September,10788.00000,5094/SB/LS,153.395142,-27.993331,Southport,Division 7
2024,September,43770.00000,5321/NE/LS,153.370525,-27.946584,Arundel,Division 4
2024,September,197946.00000,5357/WB/RS,153.339904,-27.993363,Nerang,Division 5
2024,September,714.00000,5839NBON,153.340241,-27.990636,Nerang,Division 5
2024,September,714.00000,5839/NB-ON,153.339959,-27.992693,Nerang,Division 5
2024,September,7019040.00000,5833Sdep,153.343867,-27.977703,Molendinar,Division 5
2024,September,162621.00000,5191/SB/RS,153.429518,-28.011346,Surfers Paradise,Division 7
2024,September,7019040.00000,5830Sdep,153.347152,-27.968984,Molendinar,Division 6
2024,September,7019040.00000,5830Sapp,153.347147,-27.968931,Molendinar,Division 6
2024,September,7019040.00000,RAD5832SB,153.34664,-27.973668,Molendinar,Division 5
2024,September,7019040.00000,5829Sapp,153.346147,-27.964959,Molendinar,Division 6
2024,September,75862.00000,5504/SB/RS,153.328196568,-28.002694973,Nerang,Division 5
2024,September,73235.00000,5093/WB/RS,153.424967,-28.037719,Mermaid Waters,Division 10
2024,September,4948.00000,5447/WB/RS,153.337343,-27.926902,Helensvale,Division 2
2024,September,203758.00000,5403/EB/TQ,153.37122,-28.021045,Carrara,Division 8
2024,September,38182.00000,5150/SB/LS,153.440656,-28.067359,Miami,Division 12
2024,September,154036.00000,5377/SB/TS,153.31652316,-27.90774099,Oxenford,Division 2
2024,September,201148.00000,5138/SB/TQ,153.428887,-28.021021,Broadbeach,Division 10
2024,September,0.00000,5154/NB/TQ,153.446748278,-28.079694761,Burleigh Heads,Division 12
2024,September,45062.00000,5003/NW/RS,153.409897,-27.961443,Southport,Division 6
2024,September,33781.00000,5114/NE/LS,153.413824,-27.96306,Southport,Division 6
2024,September,48216.00000,5531/NE/LT,153.40172,-28.101311,Reedy Creek,Division 13
2024,September,11248.00000,5155/WB/TS,153.461583,-28.100611,Palm Beach,Division 13
2024,September,54406.00000,5535/NB/TS,153.431438277,-28.030403459,Broadbeach,Division 10
2024,September,0.00000,5512/NE/TS,153.379536171,-28.072783067,Robina,Division 11
2024,September,189154.00000,5386/EB/TS,153.343996,-27.950785,Arundel,Division 2
2024,September,221875.00000,5516/NB/UT,153.388396206,-27.887641541,Paradise Point,Division 3
2024,September,14981.00000,5563/EB/RS,153.394466,-28.060926,Robina,Division 11
2024,September,11992.00000,5516/EB/LS,153.388396206,-27.887641541,Paradise Point,Division 3
2024,September,23578.00000,5196/WB/Dep,153.407926,-27.953271,Labrador,Division 6
2024,September,168923.00000,5452EB,153.298441,-27.86901,Upper Coomera,Division 1
2024,September,197946.00000,5357/WB/TS,153.339904,-27.993363,Nerang,Division 5
2024,September,61130.00000,5372/WB/TS,153.332866,-28.004714,Nerang,Division 5
2024,September,461.00000,5058/EB/TS,153.390186,-28.005714,Benowa,Division 7
2024,September,1034830.00000,5329/NB/LQ,153.38794,-27.905086,Coombabah,Division 4
2024,September,338555.00000,5333/NB/TS,153.425556633,-28.040214617,Mermaid Waters,Division 10
2024,September,319806.00000,5186/NW/TS,153.475752355,-28.125750267,Palm Beach,Division 13
2024,September,132840.00000,5103/WB/RS,153.452968,-28.089484,Burleigh Heads,Division 12
2024,September,234624.00000,5160/NW/TQ,153.471625,-28.11923,Palm Beach,Division 13
2024,September,26930.00000,9839/SB/LS,153.360702,-28.059615,Merrimac,Division 8
2024,September,412495.00000,5308/WB/TS,153.378575916,-27.999169974,Benowa,Division 8
2024,September,94553.00000,5654/NB/LQ,153.408489352,-27.959432476,Southport,Division 6
2024,September,2874.00000,5477/NB/RS,153.321107,-27.852178,Coomera,Division 3
2024,September,49911.00000,5182/NB/RS,153.531121,-28.167334,Coolangatta,Division 14
2024,September,694101.00000,5120/NB/TQ,153.428342,-27.990567,Surfers Paradise,Division 7
2024,September,546470.00000,5212WB,153.317866,-27.854693,Coomera,Division 3
2024,September,55365.00000,5103/NB/TS,153.452968,-28.089484,Burleigh Heads,Division 12
2024,September,2543112.00000,5797Ndep,153.314512,-27.890963,Oxenford,Division 2
2024,September,2543112.00000,5799Ndep,153.315377,-27.901881,Oxenford,Division 2
2024,September,2543112.00000,TIR5796N,153.314496,-27.891115,Oxenford,Division 2
2024,September,34209.00000,5068/SB/LS,153.400855,-27.956339,Southport,Division 6
2024,September,267349.00000,5338/EB/TS,153.419204,-28.100675,Burleigh Heads,Division 12
2024,September,428782.00000,VDS845 Rapp2,153.402095,-28.10102,Reedy Creek,Division 13
2024,September,117224.00000,5457/NE/TQ,153.382073,-27.922532,Biggera Waters,Division 4
2024,September,6623.00000,5032/WB/LS,153.244963,-27.725565,Stapylton,Division 1
2024,September,262059.00000,5549/NE/RS_2,153.38088,-28.08286,Robina,Division 11
2024,September,31759.00000,5054/NE/TS_1,153.477057837,-28.136758688,Currumbin,Division 14
2024,September,216.00000,5364/SW/RS,153.341083512,-27.979152123,Nerang,Division 5
2024,September,244903.00000,5515/SB/UT,153.38776072,-27.88462844,Paradise Point,Division 3
2024,September,29761.00000,5451/SB/TS,153.296195,-27.867845,Upper Coomera,Division 1
2024,September,16822.00000,5106/WB/RS,153.437119,-28.05365,Mermaid Beach,Division 12
2024,September,68610.00000,5651/NB/RS,153.33739884,-27.98554599,Nerang,Division 5
2024,September,13402.00000,5454/SE/RS,153.307274,-27.869774,Upper Coomera,Division 1
2024,September,171765.00000,5528/NE/RS,153.404096,-28.098094,Varsity Lakes,Division 11
2024,September,72613.00000,5672/SE/TS,153.391038,-28.093692,Mudgeeraba,Division 9
2024,September,274604.00000,5198/NB/TQ,153.453705,-28.090936,Burleigh Heads,Division 12
2024,September,8886.00000,5475/SE/TS,153.470422,-28.150216,Currumbin Waters,Division 14
2024,September,184890.00000,5379/NE/TS,153.31862988,-27.90707796,Helensvale,Division 2
2024,September,274660.00000,5828SBON,153.345326,-27.96053,Arundel,Division 6
2024,September,61130.00000,5372/WB/RS,153.332866,-28.004714,Nerang,Division 5
2024,September,9039.00000,5372/SB/RS,153.332866,-28.004714,Nerang,Division 5
2024,September,82804.00000,5567/SE/RS,153.384419,-27.962961,Southport,Division 6
2024,September,35608.00000,5072/SB/TS,153.402197,-27.948509,Labrador,Division 6
2024,September,355427.00000,5095/EB/RS,153.366469,-28.046557,Merrimac,Division 8
2024,September,214973.00000,5037/EB/RS,153.404327,-28.010127,Bundall,Division 7
2024,September,14686.00000,5672/NE/RS,153.391038,-28.093692,Mudgeeraba,Division 9
2024,September,13915.00000,5567/SW/RS,153.384419,-27.962961,Southport,Division 6
2024,September,2435775.00000,5623Sdep,153.375957,-27.967888,Molendinar,Division 6
2024,September,2435775.00000,5622SApp,153.376144,-27.9663,Molendinar,Division 6
